,SØK PÅ ADRESSE: tast ctrl + F,,,28.09 DENNE LISTEN BLIR OPPDATERT! GJELDER LERKENDAL BYDEL! Her er et kart du kan se hvordan byen er inndelt :  https://kart.trondheim.kommune.no/map/helse_oms/#10/63.3610/10.5386/topo_graa-helsestasjonsone-bydel,
gatenr,Gatenavn,husnr,bokstav,Helsestasjonstilhørighet,"Alle husnummer tilknyttet
 samme helsestasjon?"
1080,Bynesveien,773,,Saupstad,nei
1080,Bynesveien,776,,Saupstad,nei
1080,Bynesveien,777,,Saupstad,nei
1080,Bynesveien,778,,Saupstad,nei
1080,Bynesveien,779,,Saupstad,nei
1080,Bynesveien,780,,Saupstad,nei
1080,Bynesveien,781,,Saupstad,nei
1080,Bynesveien,782,,Saupstad,nei
1080,Bynesveien,783,,Saupstad,nei
1080,Bynesveien,784,,Saupstad,nei
1080,Bynesveien,786,,Saupstad,nei
1080,Bynesveien,787,,Saupstad,nei
1080,Bynesveien,789,,Saupstad,nei
1080,Bynesveien,791,,Saupstad,nei
1080,Bynesveien,793,,Saupstad,nei
1080,Bynesveien,795,,Saupstad,nei
1080,Bynesveien,797,,Saupstad,nei
1080,Bynesveien,799,,Saupstad,nei
1080,Bynesveien,8,,Sentrum,nei
1080,Bynesveien,801,,Saupstad,nei
1080,Bynesveien,803,,Saupstad,nei
1080,Bynesveien,805,,Saupstad,nei
1080,Bynesveien,807,,Saupstad,nei
1080,Bynesveien,809,,Saupstad,nei
1080,Bynesveien,813,,Saupstad,nei
1080,Bynesveien,864,,Saupstad,nei
1080,Bynesveien,865,,Saupstad,nei
1080,Bynesveien,867,,Saupstad,nei
1080,Bynesveien,874,,Saupstad,nei
1080,Bynesveien,882,,Saupstad,nei
1080,Bynesveien,886,,Saupstad,nei
1080,Bynesveien,890,,Saupstad,nei
1080,Bynesveien,9,,Sentrum,nei
1080,Bynesveien,90,,Sentrum,nei
1080,Bynesveien,900,,Saupstad,nei
1080,Bynesveien,903,,Saupstad,nei
1080,Bynesveien,905,,Saupstad,nei
1080,Bynesveien,906,,Saupstad,nei
1080,Bynesveien,907,,Saupstad,nei
1080,Bynesveien,909,,Saupstad,nei
1080,Bynesveien,91,,Sentrum,nei
1080,Bynesveien,910,,Saupstad,nei
1080,Bynesveien,916,,Saupstad,nei
1080,Bynesveien,918,,Saupstad,nei
1080,Bynesveien,920,,Saupstad,nei
1080,Bynesveien,949,,Saupstad,nei
1080,Bynesveien,951,,Saupstad,nei
1080,Bynesveien,960,,Saupstad,nei
1080,Bynesveien,967,,Saupstad,nei
1080,Bynesveien,969,,Saupstad,nei
1080,Bynesveien,978,A,Saupstad,nei
1080,Bynesveien,978,B,Saupstad,nei
1080,Bynesveien,978,C,Saupstad,nei
1080,Bynesveien,978,D,Saupstad,nei
1080,Bynesveien,987,,Saupstad,nei
1080,Bynesveien,988,,Saupstad,nei
1080,Bynesveien,99,,Sentrum,nei
1080,Bynesveien,990,,Saupstad,nei
1080,Bynesveien,992,,Saupstad,nei
1080,Bynesveien,994,,Saupstad,nei
1080,Bynesveien,996,,Saupstad,nei
1080,Bynesveien,998,,Saupstad,nei
1090,Byåsveien,101,,Sentrum,nei
1090,Byåsveien,101,B,Sentrum,nei
1090,Byåsveien,120,A,Sentrum,nei
1090,Byåsveien,120,B,Sentrum,nei
1090,Byåsveien,120,C,Sentrum,nei
1090,Byåsveien,120,D,Sentrum,nei
1090,Byåsveien,120,E,Sentrum,nei
1090,Byåsveien,126,B,Sentrum,nei
1090,Byåsveien,130,A,Byåsen,nei
1090,Byåsveien,130,B,Byåsen,nei
1090,Byåsveien,132,,Byåsen,nei
1090,Byåsveien,138,,Byåsen,nei
1090,Byåsveien,140,A,Byåsen,nei
1090,Byåsveien,140,B,Byåsen,nei
1090,Byåsveien,140,C,Byåsen,nei
1090,Byåsveien,140,D,Byåsen,nei
1090,Byåsveien,142,A,Byåsen,nei
1090,Byåsveien,142,B,Byåsen,nei
1090,Byåsveien,142,C,Byåsen,nei
1090,Byåsveien,142,D,Byåsen,nei
1090,Byåsveien,144,A,Byåsen,nei
1090,Byåsveien,144,B,Byåsen,nei
1090,Byåsveien,144,C,Byåsen,nei
1090,Byåsveien,144,D,Byåsen,nei
1090,Byåsveien,146,A,Byåsen,nei
1090,Byåsveien,146,B,Byåsen,nei
1090,Byåsveien,146,C,Byåsen,nei
1090,Byåsveien,146,D,Byåsen,nei
1090,Byåsveien,148,A,Byåsen,nei
1090,Byåsveien,148,B,Byåsen,nei
1090,Byåsveien,148,C,Byåsen,nei
1090,Byåsveien,148,D,Byåsen,nei
1090,Byåsveien,149,A,Byåsen,nei
1090,Byåsveien,149,B,Byåsen,nei
1090,Byåsveien,149,C,Byåsen,nei
1090,Byåsveien,149,D,Byåsen,nei
1090,Byåsveien,149,E,Byåsen,nei
1090,Byåsveien,149,F,Byåsen,nei
1090,Byåsveien,149,G,Byåsen,nei
1090,Byåsveien,149,H,Byåsen,nei
1090,Byåsveien,15,,Sentrum,nei
1090,Byåsveien,151,A,Byåsen,nei
1090,Byåsveien,151,B,Byåsen,nei
1090,Byåsveien,151,C,Byåsen,nei
1090,Byåsveien,151,D,Byåsen,nei
1090,Byåsveien,151,E,Byåsen,nei
1090,Byåsveien,153,A,Byåsen,nei
1090,Byåsveien,153,B,Byåsen,nei
1090,Byåsveien,153,C,Byåsen,nei
1090,Byåsveien,153,D,Byåsen,nei
1090,Byåsveien,153,E,Byåsen,nei
1090,Byåsveien,155,A,Byåsen,nei
1090,Byåsveien,155,B,Byåsen,nei
1090,Byåsveien,155,C,Byåsen,nei
1090,Byåsveien,155,D,Byåsen,nei
1090,Byåsveien,155,E,Byåsen,nei
1090,Byåsveien,158,,Byåsen,nei
1090,Byåsveien,16,B,Sentrum,nei
1090,Byåsveien,160,A,Byåsen,nei
1090,Byåsveien,160,B,Byåsen,nei
1090,Byåsveien,160,C,Byåsen,nei
1090,Byåsveien,160,D,Byåsen,nei
1090,Byåsveien,162,,Byåsen,nei
1090,Byåsveien,17,,Sentrum,nei
1090,Byåsveien,170,,Byåsen,nei
1090,Byåsveien,180,,Byåsen,nei
1090,Byåsveien,184,,Byåsen,nei
1090,Byåsveien,186,,Byåsen,nei
1090,Byåsveien,188,,Byåsen,nei
1090,Byåsveien,19,A,Sentrum,nei
1090,Byåsveien,19,B,Sentrum,nei
1090,Byåsveien,190,A,Byåsen,nei
1090,Byåsveien,190,B,Byåsen,nei
1090,Byåsveien,190,C,Byåsen,nei
1090,Byåsveien,192,A,Byåsen,nei
1090,Byåsveien,192,B,Byåsen,nei
1090,Byåsveien,192,C,Byåsen,nei
1090,Byåsveien,192,D,Byåsen,nei
1090,Byåsveien,192,E,Byåsen,nei
1090,Byåsveien,194,A,Byåsen,nei
1090,Byåsveien,194,B,Byåsen,nei
1090,Byåsveien,194,C,Byåsen,nei
1090,Byåsveien,195,,Byåsen,nei
1090,Byåsveien,196,A,Byåsen,nei
1090,Byåsveien,196,B,Byåsen,nei
1090,Byåsveien,197,,Byåsen,nei
1090,Byåsveien,2,,Sentrum,nei
1090,Byåsveien,200,,Byåsen,nei
1090,Byåsveien,202,,Byåsen,nei
1090,Byåsveien,204,,Byåsen,nei
1090,Byåsveien,206,,Byåsen,nei
1090,Byåsveien,207,,Byåsen,nei
1090,Byåsveien,208,,Byåsen,nei
1090,Byåsveien,209,,Byåsen,nei
1090,Byåsveien,21,,Sentrum,nei
1090,Byåsveien,210,A,Byåsen,nei
1090,Byåsveien,210,B,Byåsen,nei
1090,Byåsveien,26,B,Sentrum,nei
1090,Byåsveien,36,,Sentrum,nei
1090,Byåsveien,37,,Sentrum,nei
1090,Byåsveien,38,,Sentrum,nei
1090,Byåsveien,39,,Sentrum,nei
1090,Byåsveien,41,,Sentrum,nei
1090,Byåsveien,43,,Sentrum,nei
1090,Byåsveien,43,B,Sentrum,nei
1090,Byåsveien,46,B,Sentrum,nei
1090,Byåsveien,47,A,Sentrum,nei
1090,Byåsveien,47,B,Sentrum,nei
1090,Byåsveien,48,,Sentrum,nei
1090,Byåsveien,49,,Sentrum,nei
1090,Byåsveien,50,,Sentrum,nei
1090,Byåsveien,51,,Sentrum,nei
1090,Byåsveien,53,,Sentrum,nei
1090,Byåsveien,55,,Sentrum,nei
1090,Byåsveien,68,,Sentrum,nei
1090,Byåsveien,70,,Sentrum,nei
1090,Byåsveien,70,B,Sentrum,nei
1090,Byåsveien,70,C,Sentrum,nei
1090,Byåsveien,72,,Sentrum,nei
1090,Byåsveien,72,B,Sentrum,nei
1090,Byåsveien,72,C,Sentrum,nei
1090,Byåsveien,74,,Sentrum,nei
1090,Byåsveien,76,,Sentrum,nei
1090,Byåsveien,78,,Sentrum,nei
1090,Byåsveien,9,,Sentrum,nei
1090,Byåsveien,99,,Sentrum,nei
1110,Båhus gate,,,Falkenborg,ja
8702,Båtsmannsgata,,,Falkenborg,ja
1100,Bøckmans veg,1,,Sentrum,nei
1100,Bøckmans veg,1,A,Sentrum,nei
1100,Bøckmans veg,100,,Byåsen,nei
1100,Bøckmans veg,101,,Byåsen,nei
1100,Bøckmans veg,101,B,Byåsen,nei
1100,Bøckmans veg,102,A,Byåsen,nei
1100,Bøckmans veg,102,B,Byåsen,nei
1100,Bøckmans veg,102,C,Byåsen,nei
1100,Bøckmans veg,102,D,Byåsen,nei
1100,Bøckmans veg,104,A,Byåsen,nei
1100,Bøckmans veg,104,B,Byåsen,nei
1100,Bøckmans veg,104,C,Byåsen,nei
1100,Bøckmans veg,104,D,Byåsen,nei
1100,Bøckmans veg,106,A,Byåsen,nei
1100,Bøckmans veg,106,B,Byåsen,nei
1100,Bøckmans veg,106,C,Byåsen,nei
1100,Bøckmans veg,106,D,Byåsen,nei
1100,Bøckmans veg,106,E,Byåsen,nei
1100,Bøckmans veg,107,,Byåsen,nei
1100,Bøckmans veg,108,,Byåsen,nei
1100,Bøckmans veg,108,B,Byåsen,nei
1100,Bøckmans veg,11,,Sentrum,nei
1100,Bøckmans veg,110,,Byåsen,nei
1100,Bøckmans veg,112,,Byåsen,nei
1100,Bøckmans veg,113,,Byåsen,nei
1100,Bøckmans veg,115,,Byåsen,nei
1100,Bøckmans veg,13,,Sentrum,nei
1100,Bøckmans veg,15,,Sentrum,nei
1100,Bøckmans veg,15,B,Sentrum,nei
1100,Bøckmans veg,20,,Sentrum,nei
1100,Bøckmans veg,22,,Sentrum,nei
1100,Bøckmans veg,24,A,Sentrum,nei
1100,Bøckmans veg,24,B,Sentrum,nei
1100,Bøckmans veg,26,,Sentrum,nei
1100,Bøckmans veg,28,,Sentrum,nei
1100,Bøckmans veg,3,,Sentrum,nei
1100,Bøckmans veg,30,A,Sentrum,nei
1100,Bøckmans veg,30,B,Sentrum,nei
1100,Bøckmans veg,36,,Sentrum,nei
1100,Bøckmans veg,37,,Sentrum,nei
1100,Bøckmans veg,38,,Sentrum,nei
1100,Bøckmans veg,38,A,Sentrum,nei
1100,Bøckmans veg,40,A,Sentrum,nei
1100,Bøckmans veg,40,B,Sentrum,nei
1100,Bøckmans veg,40,C,Sentrum,nei
1100,Bøckmans veg,40,D,Sentrum,nei
1100,Bøckmans veg,44,,Sentrum,nei
1100,Bøckmans veg,46,,Sentrum,nei
1100,Bøckmans veg,46,A,Sentrum,nei
1100,Bøckmans veg,47,A,Sentrum,nei
1100,Bøckmans veg,47,B,Sentrum,nei
1100,Bøckmans veg,48,,Sentrum,nei
1100,Bøckmans veg,49,,Sentrum,nei
1100,Bøckmans veg,49,B,Sentrum,nei
1100,Bøckmans veg,5,,Sentrum,nei
1100,Bøckmans veg,50,,Sentrum,nei
1100,Bøckmans veg,50,A,Sentrum,nei
1100,Bøckmans veg,51,,Sentrum,nei
1100,Bøckmans veg,51,B,Sentrum,nei
1100,Bøckmans veg,52,A,Sentrum,nei
1100,Bøckmans veg,52,B,Sentrum,nei
1100,Bøckmans veg,52,C,Sentrum,nei
1100,Bøckmans veg,53,,Sentrum,nei
1100,Bøckmans veg,53,A,Sentrum,nei
1100,Bøckmans veg,54,,Sentrum,nei
1100,Bøckmans veg,54,B,Sentrum,nei
1100,Bøckmans veg,55,,Sentrum,nei
1100,Bøckmans veg,56,A,Sentrum,nei
1100,Bøckmans veg,56,B,Sentrum,nei
1100,Bøckmans veg,57,,Sentrum,nei
1100,Bøckmans veg,57,B,Sentrum,nei
1100,Bøckmans veg,57,C,Sentrum,nei
1100,Bøckmans veg,58,,Sentrum,nei
1100,Bøckmans veg,58,A,Sentrum,nei
1100,Bøckmans veg,59,,Sentrum,nei
1100,Bøckmans veg,60,A,Sentrum,nei
1100,Bøckmans veg,60,B,Sentrum,nei
1100,Bøckmans veg,61,,Sentrum,nei
1100,Bøckmans veg,62,,Sentrum,nei
1100,Bøckmans veg,62,B,Sentrum,nei
1100,Bøckmans veg,63,,Sentrum,nei
1100,Bøckmans veg,64,A,Sentrum,nei
1100,Bøckmans veg,64,B,Sentrum,nei
1100,Bøckmans veg,64,C,Sentrum,nei
1100,Bøckmans veg,65,,Sentrum,nei
1100,Bøckmans veg,66,A,Sentrum,nei
1100,Bøckmans veg,66,B,Sentrum,nei
1100,Bøckmans veg,66,C,Sentrum,nei
1100,Bøckmans veg,67,,Sentrum,nei
1100,Bøckmans veg,68,A,Sentrum,nei
1100,Bøckmans veg,68,B,Sentrum,nei
1100,Bøckmans veg,69,,Sentrum,nei
1100,Bøckmans veg,7,,Sentrum,nei
1100,Bøckmans veg,7,A,Sentrum,nei
1100,Bøckmans veg,70,,Byåsen,nei
1100,Bøckmans veg,70,A,Byåsen,nei
1100,Bøckmans veg,70,B,Byåsen,nei
1100,Bøckmans veg,71,,Byåsen,nei
1100,Bøckmans veg,72,,Byåsen,nei
1100,Bøckmans veg,73,A,Byåsen,nei
1100,Bøckmans veg,73,B,Byåsen,nei
1100,Bøckmans veg,73,C,Byåsen,nei
1100,Bøckmans veg,73,D,Byåsen,nei
1100,Bøckmans veg,74,,Byåsen,nei
1100,Bøckmans veg,75,A,Byåsen,nei
1100,Bøckmans veg,75,B,Byåsen,nei
1100,Bøckmans veg,75,C,Byåsen,nei
1100,Bøckmans veg,75,D,Byåsen,nei
1100,Bøckmans veg,76,,Byåsen,nei
1100,Bøckmans veg,77,,Byåsen,nei
1100,Bøckmans veg,78,,Byåsen,nei
1100,Bøckmans veg,78,A,Byåsen,nei
1100,Bøckmans veg,79,,Byåsen,nei
1100,Bøckmans veg,80,A,Byåsen,nei
1100,Bøckmans veg,80,B,Byåsen,nei
1100,Bøckmans veg,80,C,Byåsen,nei
1100,Bøckmans veg,81,,Byåsen,nei
1100,Bøckmans veg,82,A,Byåsen,nei
1100,Bøckmans veg,82,B,Byåsen,nei
1100,Bøckmans veg,83,,Byåsen,nei
1100,Bøckmans veg,84,,Byåsen,nei
1100,Bøckmans veg,85,,Byåsen,nei
1100,Bøckmans veg,87,A,Byåsen,nei
1100,Bøckmans veg,87,B,Byåsen,nei
1100,Bøckmans veg,87,C,Byåsen,nei
1100,Bøckmans veg,88,,Byåsen,nei
1100,Bøckmans veg,89,,Byåsen,nei
1100,Bøckmans veg,9,A,Sentrum,nei
1100,Bøckmans veg,9,B,Sentrum,nei
1100,Bøckmans veg,9,C,Sentrum,nei
1100,Bøckmans veg,90,,Byåsen,nei
1100,Bøckmans veg,91,A,Byåsen,nei
1100,Bøckmans veg,91,B,Byåsen,nei
1100,Bøckmans veg,92,,Byåsen,nei
1100,Bøckmans veg,92,A,Byåsen,nei
1100,Bøckmans veg,93,A,Byåsen,nei
1100,Bøckmans veg,93,B,Byåsen,nei
1100,Bøckmans veg,94,A,Byåsen,nei
1100,Bøckmans veg,94,B,Byåsen,nei
1100,Bøckmans veg,96,,Byåsen,nei
1100,Bøckmans veg,96,A,Byåsen,nei
1100,Bøckmans veg,98,,Byåsen,nei
1100,Bøckmans veg,98,B,Byåsen,nei
1100,Bøckmans veg,99,,Byåsen,nei
1105,Bøkvegen,,,Falkenborg,ja
1432,Børjavegen,,,Klæbu,ja
1210,C.J. Hambros vei,,,Rosten,ja
8705,Camilla Colletts veg,,,Falkenborg,ja
1125,Carl Dons' veg,,,Blussuvoll,ja
1130,Carl Johans gate,,,Sentrum,ja
1135,Carl Lønseths veg,,,Falkenborg,ja
8710,Carl Schjetnans veg,,,Romolslia,ja
1138,Carl W. Ianssens veg,,,Byåsen,ja
1140,Casparis gate,,,Sentrum,ja
1145,Casper Lundes veg,,,Saupstad,ja
1150,Catharine Lysholms veg,,,Byåsen,ja
8718,Cecilie Løvøs veg,,,Blussuvoll,ja
8717,Cecilie Thoresens veg,,,Falkenborg,ja
8715,Cecilienborgvegen,,,Sentrum,ja
8731,Charlotte Voigts veg,,,Falkenborg,ja
1162,Christian Bloms veg,,,Falkenborg,ja
8719,Christian Eggens veg,,,Nidarvoll,ja
8720,Christian Frederiks gate,,,Sentrum,ja
1180,Christian Jelstrups vei,,,Sentrum,ja
1190,Christian Monsens gate,,,Falkenborg,ja
1195,Churchills veg,,,Falkenborg,ja
1200,Cicilieveien,,,Sentrum,ja
9401,Clara Holsts veg,,,Falkenborg,ja
1220,Credoveita,,,Sentrum,ja
9427,Dakota,,,Falkenborg,ja
1131,Dalavegen,,,Klæbu,ja
1230,Dalen hageby,,,Falkenborg,ja
8733,Dalgårdvegen,,,Byåsen,ja
1250,Dalhaugveien,,,Byåsen,ja
1254,Dalheimslyngen,,,Falkenborg,ja
1255,Dalheimvegen,,,Falkenborg,ja
1260,Dalkantvegen,,,Falkenborg,ja
1270,Dalsaunevegen,,,Nidarvoll,ja
8734,Dalstien,,,Byåsen,ja
1133,Daltunet,,,Klæbu,ja
8735,Damlia,,,Byåsen,ja
1440,Damtjønnvegen,,,Klæbu,ja
8736,Danielsbakerveita,,,Sentrum,ja
8737,Danielsveita,,,Sentrum,ja
1132,Darres veg,,,Klæbu,ja
1300,Devlesvingen,,,Falkenborg,ja
1306,Dickaunsvingen,,,Sentrum,ja
9313,Digresmyrvegen,,,Nidarvoll,ja
1308,Dikehaugen,,,Byåsen,ja
1310,Distr.lege Øvrelids vei,,,Rosten,ja
1320,Ditlev Bloms veg,,,Saupstad,ja
1321,Djupmyra,,,Rosten,ja
1325,Dokkgata,,,Falkenborg,ja
1324,Dokkparken,,,Falkenborg,ja
1326,Dolpa,,,Falkenborg,ja
1360,Dr. Sands veg,,,Blussuvoll,ja
1328,Dragvoll alle,,,Blussuvoll,ja
8646,Drakstvegen,,,Nidarvoll,ja
1136,Drengvegen,,,Klæbu,ja
1330,Drillveita,,,Sentrum,ja
1365,Drivhusvegen,,,Byåsen,ja
1340,Dronning Åsas vei,,,Falkenborg,ja
1350,Dronningens gate,,,Sentrum,ja
1370,Duelunden,,,Sentrum,ja
1380,Dvergstien,,,Sentrum,ja
1390,Dybdahls veg,1,,Nidarvoll,nei
1390,Dybdahls veg,11,A,Nidarvoll,nei
1390,Dybdahls veg,11,B,Nidarvoll,nei
1390,Dybdahls veg,11,C,Nidarvoll,nei
1390,Dybdahls veg,11,D,Nidarvoll,nei
1390,Dybdahls veg,13,A,Nidarvoll,nei
1390,Dybdahls veg,13,B,Nidarvoll,nei
1390,Dybdahls veg,13,C,Nidarvoll,nei
1390,Dybdahls veg,13,D,Nidarvoll,nei
1390,Dybdahls veg,13,E,Nidarvoll,nei
1390,Dybdahls veg,13,F,Nidarvoll,nei
1390,Dybdahls veg,13,G,Nidarvoll,nei
1390,Dybdahls veg,13,H,Nidarvoll,nei
1390,Dybdahls veg,15,A,Nidarvoll,nei
1390,Dybdahls veg,15,B,Nidarvoll,nei
1390,Dybdahls veg,15,C,Nidarvoll,nei
1390,Dybdahls veg,15,D,Nidarvoll,nei
1390,Dybdahls veg,17,A,Nidarvoll,nei
1390,Dybdahls veg,17,B,Nidarvoll,nei
1390,Dybdahls veg,17,C,Nidarvoll,nei
1390,Dybdahls veg,19,A,Nidarvoll,nei
1390,Dybdahls veg,19,B,Nidarvoll,nei
1390,Dybdahls veg,19,C,Nidarvoll,nei
1390,Dybdahls veg,2,B,Blussuvoll,nei
1390,Dybdahls veg,21,A,Nidarvoll,nei
1390,Dybdahls veg,21,B,Nidarvoll,nei
1390,Dybdahls veg,21,C,Nidarvoll,nei
1390,Dybdahls veg,23,A,Nidarvoll,nei
1390,Dybdahls veg,23,B,Nidarvoll,nei
1390,Dybdahls veg,23,C,Nidarvoll,nei
1390,Dybdahls veg,25,,Nidarvoll,nei
1390,Dybdahls veg,3,,Nidarvoll,nei
1390,Dybdahls veg,32,,Blussuvoll,nei
1390,Dybdahls veg,34,,Blussuvoll,nei
1390,Dybdahls veg,36,,Blussuvoll,nei
1390,Dybdahls veg,36,A,Blussuvoll,nei
1390,Dybdahls veg,38,,Blussuvoll,nei
1390,Dybdahls veg,40,,Blussuvoll,nei
1390,Dybdahls veg,5,,Nidarvoll,nei
1390,Dybdahls veg,7,A,Nidarvoll,nei
1390,Dybdahls veg,7,B,Nidarvoll,nei
1390,Dybdahls veg,7,C,Nidarvoll,nei
1390,Dybdahls veg,7,D,Nidarvoll,nei
1390,Dybdahls veg,9,A,Nidarvoll,nei
1390,Dybdahls veg,9,B,Nidarvoll,nei
1390,Dybdahls veg,9,C,Nidarvoll,nei
8738,Dyrborgveien,,,Sentrum,ja
8739,Dyre Halses gate,,,Falkenborg,ja
8740,E.C. Dahls gate,,,Sentrum,ja
8741,Edgar B. Schieldrops veg,,,Nidarvoll,ja
8742,Edvard Bulls veg,,,Blussuvoll,ja
8743,Edvard Griegs gate,,,Sentrum,ja
8744,Egganvegen,,,Romolslia,ja
1441,Eidstuvegen,,,Klæbu,ja
8745,Eidsvolls gate,,,Sentrum,ja
8746,Eikvegen,,,Falkenborg,ja
8747,Eilert Sundts gate,,,Falkenborg,ja
1460,Eilif Gulbransons veg,,,Saupstad,ja
1470,Einar Solstads vei,,,Rosten,ja
1480,Einar Tambarskjelves gate,,,Sentrum,ja
1485,Einar Øfstis veg,,,Nidarvoll,ja
1500,Einervegen,,,Falkenborg,ja
1505,Einmoen,,,Falkenborg,ja
1510,Eirik Jarls gate,,,Sentrum,ja
1515,Eivind Ahlbergs veg,,,Falkenborg,ja
9332,Eklesspannvegen,,,Nidarvoll,ja
9331,Eklesvegen,,,Nidarvoll,ja
1520,Ekornvegen,,,Saupstad,ja
1530,Elgeseter gate,,,Sentrum,ja
1540,Elgvegen,,,Byåsen,ja
1545,Eli Sjursdotters vei,,,Byåsen,ja
1550,Ellefsens vei,,,Sentrum,ja
1560,Ellen Lies vei,,,Falkenborg,ja
9203,Elsetåsvegen,,,Saupstad,ja
1570,Elvegata,,,Sentrum,ja
1580,Elvevegen,,,Nidarvoll,ja
1590,Emilie Kroghs veg,,,Byåsen,ja
9319,Engelsåsstien,,,Falkenborg,ja
1591,Engelsåsvegen,101,,Nidarvoll,nei
1591,Engelsåsvegen,103,,Nidarvoll,nei
1591,Engelsåsvegen,105,,Nidarvoll,nei
1591,Engelsåsvegen,122,,Nidarvoll,nei
1591,Engelsåsvegen,124,,Nidarvoll,nei
1591,Engelsåsvegen,126,,Nidarvoll,nei
1591,Engelsåsvegen,139,,Nidarvoll,nei
1591,Engelsåsvegen,183,,Nidarvoll,nei
1591,Engelsåsvegen,185,,Nidarvoll,nei
1591,Engelsåsvegen,187,,Nidarvoll,nei
1591,Engelsåsvegen,190,,Nidarvoll,nei
1591,Engelsåsvegen,20,,Nidarvoll,nei
1591,Engelsåsvegen,203,,Nidarvoll,nei
1591,Engelsåsvegen,22,,Nidarvoll,nei
1591,Engelsåsvegen,24,,Nidarvoll,nei
1591,Engelsåsvegen,241,,Nidarvoll,nei
1591,Engelsåsvegen,254,,Falkenborg,nei
1591,Engelsåsvegen,256,,Falkenborg,nei
1591,Engelsåsvegen,26,A,Nidarvoll,nei
1591,Engelsåsvegen,26,B,Nidarvoll,nei
1591,Engelsåsvegen,27,,Nidarvoll,nei
1591,Engelsåsvegen,272,,Falkenborg,nei
1591,Engelsåsvegen,274,,Falkenborg,nei
1591,Engelsåsvegen,29,,Nidarvoll,nei
1591,Engelsåsvegen,294,,Falkenborg,nei
1591,Engelsåsvegen,301,,Nidarvoll,nei
1591,Engelsåsvegen,303,,Falkenborg,nei
1591,Engelsåsvegen,305,,Falkenborg,nei
1591,Engelsåsvegen,306,,Falkenborg,nei
1591,Engelsåsvegen,338,,Falkenborg,nei
1591,Engelsåsvegen,340,,Falkenborg,nei
1591,Engelsåsvegen,343,,Falkenborg,nei
1591,Engelsåsvegen,344,,Falkenborg,nei
1591,Engelsåsvegen,346,,Falkenborg,nei
1591,Engelsåsvegen,348,,Falkenborg,nei
1591,Engelsåsvegen,349,,Falkenborg,nei
1591,Engelsåsvegen,351,,Falkenborg,nei
1591,Engelsåsvegen,365,,Falkenborg,nei
1591,Engelsåsvegen,380,,Falkenborg,nei
1591,Engelsåsvegen,389,,Falkenborg,nei
1591,Engelsåsvegen,391,,Falkenborg,nei
1591,Engelsåsvegen,449,,Falkenborg,nei
1591,Engelsåsvegen,455,,Falkenborg,nei
1591,Engelsåsvegen,492,,Falkenborg,nei
1591,Engelsåsvegen,494,,Falkenborg,nei
1591,Engelsåsvegen,496,,Falkenborg,nei
1591,Engelsåsvegen,498,,Falkenborg,nei
1591,Engelsåsvegen,5,,Nidarvoll,nei
1591,Engelsåsvegen,500,,Falkenborg,nei
1591,Engelsåsvegen,517,,Falkenborg,nei
1591,Engelsåsvegen,519,,Falkenborg,nei
1591,Engelsåsvegen,586,,Falkenborg,nei
1591,Engelsåsvegen,588,,Falkenborg,nei
1591,Engelsåsvegen,592,,Falkenborg,nei
1591,Engelsåsvegen,603,,Falkenborg,nei
1591,Engelsåsvegen,7,,Nidarvoll,nei
1591,Engelsåsvegen,8,,Nidarvoll,nei
1591,Engelsåsvegen,97,,Nidarvoll,nei
1591,Engelsåsvegen,99,,Nidarvoll,nei
1592,Engstrømbakken,,,Falkenborg,ja
1610,Engvegen,,,Blussuvoll,ja
1615,Enromvegen,,,Byåsen,ja
1620,Erika Lies veg,,,Byåsen,ja
1630,Erlends veg,,,Byåsen,ja
1635,Erling Høviks veg,,,Falkenborg,ja
1640,Erling Skakkes gate,,,Sentrum,ja
1650,Erling Skjalgssons gate,,,Sentrum,ja
9426,Ernst Larsens veg,,,Falkenborg,ja
1656,Esptunet,,,Saupstad,ja
1655,Espvegen,,,Saupstad,ja
9311,Espåsvegen,,,Nidarvoll,ja
1660,Essendrops gate,,,Blussuvoll,ja
1665,Estenstadvegen,,,Blussuvoll,ja
1670,Even Lorengs veg,,,Sentrum,ja
1680,Eventyrvegen,,,Falkenborg,ja
1685,Eyvind Løkkens veg,,,Rosten,ja
1690,Fagerheim alle,,,Falkenborg,ja
1700,Fagerliveien,,,Sentrum,ja
1710,Fagertunvegen,,,Sentrum,ja
1715,Fagrabrekka,,,Falkenborg,ja
1718,Falkenborgvegen,,,Falkenborg,ja
9217,Fallvegen,,,Saupstad,ja
1720,Falsens gate,,,Sentrum,ja
1721,Ferjemannsveien,,,Falkenborg,ja
1730,Fernanda Nissens veg,,,Falkenborg,ja
1740,Ferstadbakken,,,Byåsen,ja
1750,Festningsgata,1,,Falkenborg,nei
1750,Festningsgata,11,,Falkenborg,nei
1750,Festningsgata,13,,Falkenborg,nei
1750,Festningsgata,15,,Falkenborg,nei
1750,Festningsgata,2,,Sentrum,nei
1750,Festningsgata,27,,Falkenborg,nei
1750,Festningsgata,29,,Falkenborg,nei
1750,Festningsgata,3,,Falkenborg,nei
1750,Festningsgata,31,,Falkenborg,nei
1750,Festningsgata,33,,Falkenborg,nei
1750,Festningsgata,33,B,Falkenborg,nei
1750,Festningsgata,34,,Sentrum,nei
1750,Festningsgata,35,,Falkenborg,nei
1750,Festningsgata,36,,Sentrum,nei
